threshold	decision_strategy	sample_size	setting_id	delta_above0	p_above50	p_above55	p_above60	p_above65	p_above70	p_above75	p_above80	p_above85	p_above90	p_above95
0.18	phat0	1000	3	0.09	0.089	0.071	0.056	0.042	0.029	0.019	0.011	0.007	0.003	0.001
0.19	phat0	1000	3	0.093	0.093	0.065	0.051	0.04	0.031	0.024	0.014	0.008	0.004	0.002
0.2	phat0	1000	3	0.08	0.078	0.064	0.051	0.042	0.029	0.02	0.017	0.009	0.005	0.001
0.21	phat0	1000	3	0.082	0.081	0.059	0.047	0.037	0.028	0.02	0.014	0.009	0.003	0
0.22	phat0	1000	3	0.069	0.07	0.061	0.047	0.041	0.027	0.015	0.01	0.006	0.001	0
0.23	phat0	1000	3	0.061	0.061	0.05	0.039	0.031	0.023	0.018	0.009	0.005	0.002	0
0.24	phat0	1000	3	0.063	0.063	0.047	0.036	0.024	0.019	0.013	0.006	0.003	0	0
0.25	phat0	1000	3	0.06	0.06	0.047	0.035	0.024	0.02	0.01	0.006	0.003	0	0
0.26	phat0	1000	3	0.054	0.053	0.042	0.03	0.019	0.015	0.009	0.005	0.002	0.001	0
0.27	phat0	1000	3	0.053	0.053	0.039	0.028	0.021	0.013	0.012	0.007	0.002	0.002	0.002
0.28	phat0	1000	3	0.048	0.047	0.041	0.034	0.021	0.012	0.007	0.002	0.002	0.002	0.001
0.29	phat0	1000	3	0.05	0.049	0.035	0.022	0.017	0.01	0.007	0.005	0.003	0.002	0
0.3	phat0	1000	3	0.042	0.042	0.026	0.021	0.015	0.01	0.006	0.006	0.003	0.002	0
1e-9	phat1	250	1	0	0	0	0	0	0	0	0	0	0	0
0.01	phat1	250	1	0	0	0	0	0	0	0	0	0	0	0
0.02	phat1	250	1	0	0	0	0	0	0	0	0	0	0	0
0.03	phat1	250	1	0	0.003	0	0	0	0	0	0	0	0	0
0.04	phat1	250	1	0.13	0.364	0.263	0.165	0.07	0.02	0.001	0	0	0	0
0.05	phat1	250	1	0.346	0.448	0.38	0.316	0.271	0.222	0.165	0.082	0.026	0	0
0.06	phat1	250	1	0.448	0.506	0.455	0.4	0.348	0.287	0.209	0.155	0.107	0.06	0.014
0.07	phat1	250	1	0.522	0.586	0.515	0.463	0.401	0.335	0.271	0.212	0.161	0.105	0.041
0.08	phat1	250	1	0.573	0.62	0.561	0.511	0.447	0.378	0.318	0.25	0.193	0.12	0.055
0.09	phat1	250	1	0.635	0.662	0.613	0.553	0.497	0.431	0.368	0.301	0.226	0.145	0.079
0.1	phat1	250	1	0.666	0.689	0.643	0.606	0.54	0.473	0.406	0.331	0.256	0.168	0.082
0.11	phat1	250	1	0.703	0.718	0.669	0.616	0.572	0.51	0.445	0.365	0.296	0.209	0.102
0.12	phat1	250	1	0.712	0.725	0.675	0.631	0.582	0.525	0.451	0.388	0.317	0.231	0.137
0.13	phat1	250	1	0.729	0.737	0.705	0.656	0.591	0.54	0.472	0.402	0.332	0.245	0.145
0.14	phat1	250	1	0.732	0.736	0.695	0.654	0.597	0.538	0.48	0.42	0.35	0.253	0.152
0.15	phat1	250	1	0.732	0.738	0.697	0.658	0.61	0.557	0.507	0.442	0.373	0.275	0.154
0.16	phat1	250	1	0.744	0.746	0.718	0.676	0.615	0.564	0.505	0.443	0.379	0.291	0.164
0.17	phat1	250	1	0.743	0.75	0.7	0.668	0.625	0.567	0.51	0.449	0.377	0.29	0.175
0.18	phat1	250	1	0.752	0.756	0.726	0.674	0.632	0.588	0.538	0.466	0.38	0.3	0.188
0.19	phat1	250	1	0.758	0.759	0.712	0.674	0.638	0.592	0.528	0.46	0.396	0.302	0.198
0.2	phat1	250	1	0.769	0.768	0.73	0.678	0.639	0.588	0.542	0.481	0.395	0.31	0.196
0.21	phat1	250	1	0.761	0.766	0.726	0.678	0.639	0.59	0.531	0.468	0.4	0.314	0.208
0.22	phat1	250	1	0.769	0.771	0.731	0.69	0.65	0.591	0.54	0.468	0.394	0.314	0.196
0.23	phat1	250	1	0.762	0.763	0.723	0.687	0.644	0.583	0.534	0.479	0.397	0.306	0.205
0.24	phat1	250	1	0.765	0.769	0.729	0.687	0.638	0.587	0.546	0.473	0.396	0.304	0.202
0.25	phat1	250	1	0.759	0.76	0.727	0.689	0.631	0.582	0.537	0.471	0.4	0.311	0.194
0.26	phat1	250	1	0.758	0.76	0.714	0.68	0.644	0.606	0.546	0.472	0.392	0.315	0.185
