"pred","outcome"
0.1354336199,1
0.0119051819,0
0.3164942084,1
0.0321275518,0
0.00388038359999998,0
0.209398316,0
0.0439565631,0
0.4587477256,0
0.0726475031,0
0.0347904671,0
0.0246512457,0
0.8253451569,1
0.6786098236,1
0.8452074552,1
0.7475742792,1
0.8708535575,1
0.6960671969,1
0.8337459478,1
0.7201480684,1
0.9764511495,1
0.9740858194,1
0.00449484929999999,0
0.0481721786,0
0.0955888338000001,0
0.056057719,0
0.9759341877,1
0.6000242693,1
0.00549930489999995,0
0.8207175411,1
0.8336735858,1
0.940191834,1
0.785302923,1
0.0203060952,0
0.9668483882,1
0.7611925363,1
0.0244781401,0
0.8250540704,1
0.9284665508,1
0.0307363413,0
0.9626341708,1
0.1521357686,0
0.7485866072,1
0.607459375,1
0.0372959863,0
0.985879103,1
0.0178322722000001,0
0.8369710177,1
0.9799474189,1
0.1153931889,1
0.00274418710000002,0
0.9224797442,1
0.9043333296,0
0.3015141157,1
0.1078904528,0
0.0407947554,0
0.9841969216,1
0.8447591205,0
0.1934941304,0
0.4666892638,0
0.8037065364,1
0.0883771234,0
0.9938218154,1
0.1451933768,0
0.9709803574,1
0.9805974591,1
0.0451052278,0
0.7900108031,1
0.00312500589999998,0
0.106691024,0
0.022350992,0
0.0288761151,0
0.1045719289,0
0.0141641198,0
0.9635249189,0
0.1088189365,0
0.259972429,1
0.9631159652,1
0.0343008994,0
0.7563089687,0
0.7204657894,1
0.0390378501999999,0
0.9539954548,1
0.7632002915,1
0.0562132064,1
0.0198507777,0
0.7181536907,1
0.00346224340000001,0
0.2873811211,1
0.0239085107,0
0.2961666224,0
0.0190486683,0
0.0774900454,1
0.9743317605,1
0.0160742974,0
0.00783376209999997,0
0.8041730087,1
0.6954422332,1
0.2467103997,0
0.4696089865,1
0.6796469102,1
0.0222964081,0
0.2882419599,0
0.7106917504,1
0.7006385958,1
0.0261227733,1
0.3412246402,0
0.00294810499999998,0
0.7879165737,1
0.034840245,0
0.9427217571,1
0.0286494764,0
0.2476350348,1
0.0503087636,0
0.00388960199999999,0
0.6041758642,1
0.7662378398,1
0.6235258391,1
0.0322485803,0
0.8425037874,1
0.8363701619,1
0.0232300177,0
0.9656754561,1
0.0814348627,0
0.5546466114,1
0.0080701567,0
0.9364216131,1
0.1616768219,0
0.3343836092,0
0.513579603,0
0.8335608176,1
0.0491153546,0
0.0055647607,0
0.0100708093,0
0.0368069031,0
0.0346529195,0
0.8802901676,1
0.6901236247,1
0.9319908211,1
0.8946573861,1
0.0224631622,0
0.0186650316,0
0.0798812929,0
0.0211268495,0
0.3204438956,1
0.101297951,0
0.2473764858,0
0.525930982,1
0.6900251551,1
0.9138605721,1
0.8718683509,1
0.9550654523,1
0.00280351940000001,0
0.4049805854,1
0.0545086714,0
0.00564039500000002,0
0.301576838,0
0.8451693516,1
0.7593613764,1
0.1170431186,0
0.3731309034,1
0.0269224338,0
0.0125126404,0
0.9799030405,1
0.742321,1
0.4313095635,1
0.9222596997,1
0.8853086779,1
0.9609024978,1
0.2453346902,0
0.2475636639,0
0.8948041162,1
0.9680628159,1
0.9562127669,1
0.4918625285,0
0.492743647,1
0.6959125701,1
0.0267186377999999,0
0.8568487255,1
0.7682997552,1
0.3650185405,0
0.6008052952,1
0.6110201682,1
0.059874677,0
0.9630536423,1
0.9059159077,1
0.9713378409,1
0.6868243642,1
0.9767490163,1
0.1594832383,0
0.0584409136,1
0.00768971799999996,0
0.7441641891,1
0.3094414269,1
0.9381389412,1
0.9759867771,1
0.8782834044,1
0.7054816733,1
0.9837067638,1
0.2471373898,1
0.00395003849999997,0
0.0227937974,0
0.053928132,0
0.636051607,1
0.0384791838,0
0.2141695278,0
0.8447758298,1
0.5114745485,1
0.9492764084,1
0.2825984026,1
0.6867522222,1
0.093818047,0
0.0469277464,0
0.9598319312,1
0.7067388808,1
0.316268774,1
0.6017680344,1
0.9852424998,1
0.9603447164,1
0.9763928652,1
0.386694443,1
0.738613084,1
0.8667231002,1
0.0232126942000001,0
0.0238194282,0
0.1052527489,0
0.0227495055,0
0.8197737852,1
0.5827734819,0
0.6447507758,1
0.00743754860000001,0
0.00802884290000005,0
0.0128804852,0
0.00860230340000001,0
0.00245258130000003,0
0.00623238989999997,0
0.0201211593,0
0.0106365131,0
0.00158045579999999,0
0.0139332525,0
0.0211025206,0
0.0111072226,0
0.0237374337,0
0.00862535249999996,0
0.0217594374,0
0.1495798054,0
0.0106364825,0
0.0210225256,0
0.00754126759999996,0
0.026748121,0
0.00503034719999995,0
0.00863653470000003,0
0.0298267436,0
0.6684997731,1
0.00739505740000002,0
0.0030753456,0
0.095341901,0
0.3191622951,0
0.00540236900000002,0
0.2211733911,0
0.0164704057,0
0.00516033120000003,0
0.0342453528,0
0.00343183690000004,0
0.0123025535,0
0.00880892980000003,0
0.0145484654,0
0.7441431629,1
0.0518569246,0
0.00606967039999995,0
0.00748366290000002,0
0.0188478648,0
0.00659395019999998,0
0.0106988262,0
0.8932607334,0
0.1206306086,0
0.1882204112,0
0.0101413467,0
0.3696964907,1
0.00906667490000002,0
0.00229539209999996,0
0.7266810496,0
0.6742036253,1
0.0155648551000001,0
0.9878521203,1
0.00790971230000004,0
0.1838838879,0
0.1124489235,0
0.0113613491,0
0.0124986030999999,0
0.00296367040000001,0
0.0520482131,0
0.00296248300000002,0
0.0603291569,0
0.0126238811,0
0.248726625,0
0.0390957098,0
0.00313382829999997,0
0.00771277260000003,0
0.0461696086,0
0.8843601322,1
0.0100177264,0
0.0101413467,0
0.00362362839999997,0
0.0525051978,0
0.4584503535,0
0.00985748509999995,0
0.00725474770000001,0
0.0279381788,0
0.1313226551,0
0.9633174579,1
0.00223316340000002,0
0.00379087150000001,0
0.00935289319999999,0
0.9524686144,1
0.0326178651,0
0.0268123095,0
0.0376933366,0
0.0165071503999999,0
0.0204841283,0
0.00538911590000002,0
0.00187391960000005,0
0.00574358539999997,0
0.00493362980000001,0
0.110595205,0
0.0105956958,0
0.0941436578,0
0.0315913108,0
0.00723739700000003,0
0.5995059875,0
0.00439841750000003,0
0.4966130196,1
0.00707794689999997,0
0.6945284002,0
0.00503034719999995,0
0.0332163646,0
0.0984607641,0
0.00551048720000002,0
0.1573817371,1
0.160534238,1
0.00814636859999995,0
0.2156315151,0
0.0180026467,0
0.0125134539,0
0.4647279817,1
0.0193975622,0
0.9542344829,1
0.145316622,0
0.5410867471,0
0.0192368724,0
0.0518961125,0
0.00176670459999995,0
0.0154465419000001,0
0.0376996567,0
0.265565447,0
0.00159378139999999,0
0.6989089222,0
0.3939731649,1
0.0297688195,0
0.0159850558,0
0.00241119649999999,0
0.1493919757,1
0.00128623220000001,0
0.00990842999999997,0
0.4293924437,0
0.00221076369999995,0
0.096147593,0
0.70170453,1
0.00153983520000001,0
0.00285906250000001,0
0.4811258783,1
0.00173294719999995,0
0.0115803902,0
0.00147641369999996,0
0.0166038568,0
0.00593231360000002,0
0.00258589860000003,0
0.0045261123,0
0.6174014172,1
0.01019174,0
0.1527187187,0
0.2143769764,1
0.0662430932,0
